review_id,text,rating,date
1,Terrible quality broke fast,2.0,2026-04-06
2,"  Five stars, no complaints at all   ",4.0,2026-06-12
3,"Five stars, no complaints at all",5.0,2026-07-18
4,Item did not match the description,1.0,2026-03-30
5,Exceeded my expectations,5.0,2026-08-05
6,It does the job,3.0,2026-06-07
7,Fast shipping and great quality,5.0,2026-06-02
8,Item did not match the description,,2026-08-07
9,It does the job,3.0,2026-03-19
10,Best purchase I've made this year,5.0,2026-07-20
11,Not bad but not great either,3.0,2026-05-27
12,,5.0,2026-06-24
13,,1.0,2026-06-04
14,Would definitely buy again,,2026-05-03
15,Fast shipping and great quality,5.0,2026-04-09
16,FAST SHIPPING AND GREAT QUALITY,3.0,2026-07-27
17,"Cheaply made, would not recommend",1.0,2026-07-29
18,Arrived damaged and customer service was unhelpful,1.0,2026-07-11
19,This changed my daily routine for the better,5.0,2026-08-22
20,  Decent for the price   ,3.0,2026-05-22
21,Really happy with this purchase,4.0,2026-08-06
22,Item did not match the description,1.0,2026-07-17
23,Middle of the road experience,3.0,2026-08-06
24,"Five stars, no complaints at all",5.0,2026-06-21
25,Exceeded my expectations,5.0,2026-08-21
26,"Five stars, no complaints at all",5.0,2026-04-02
27,Poor packaging led to damage,1.0,2026-07-02
28,,2.0,2026-07-21
29,Fast shipping and great quality,5.0,2026-05-23
30,,,2026-07-07
31,"Five stars, no complaints at all",,2026-08-08
32,Very disappointed with this purchase,1.0,2026-08-17
33,Middle of the road experience,3.0,2026-07-14
34,Fast shipping and great quality,5.0,2026-05-07
35,Fast shipping and great quality,4.0,2026-07-15
36,Great product love it,4.0,2026-06-10
37,Best purchase I've made this year,4.0,2026-07-18
38,Would not buy this again,1.0,2026-05-13
39,Really happy with this purchase,2.0,2026-08-23
40,  Great product love it   ,5.0,2026-08-02
41,Fast shipping and great quality,3.0,2026-08-20
42,Arrived damaged and customer service was unhelpful,1.0,2026-08-13
43,Not bad but not great either,3.0,2026-06-13
44,"Five stars, no complaints at all",5.0,2026-05-12
45,Decent for the price,3.0,2026-07-29
46,  Average nothing special   ,3.0,2026-07-14
47,Amazing value for the price,4.0,2026-08-22
48,"Waste of money, returning it",1.0,2026-03-22
49,  Poor packaging led to damage   ,1.0,2026-08-16
50,"  Five stars, no complaints at all   ",4.0,2026-03-28
51,This changed my daily routine for the better,4.0,2026-08-14
52,"Works fine, nothing to write home about",3.0,2026-07-25
53,Item did not match the description,1.0,2026-07-06
54,Fast shipping and great quality,4.0,2026-05-31
55,  Fast shipping and great quality   ,5.0,2026-06-17
56,WOULD NOT BUY THIS AGAIN,2.0,2026-08-01
57,Fast shipping and great quality,5.0,2026-07-05
58,"Five stars, no complaints at all",5.0,2026-08-21
59,,1.0,2026-05-29
60,Exceeded my expectations,4.0,2026-04-22
61,Works exactly as described,5.0,2026-07-20
62,Very disappointed with this purchase,1.0,2026-04-11
63,WOULD DEFINITELY BUY AGAIN,5.0,2026-05-24
64,Works exactly as described,4.0,2026-07-15
65,Not worth the money,1.0,2026-04-22
66,"Cheaply made, would not recommend",1.0,2026-08-15
67,Great product love it,5.0,2026-05-08
68,"Five stars, no complaints at all",5.0,2026-05-28
69,Best purchase I've made this year,5.0,2026-08-06
70,Average nothing special,3.0,2026-06-08
71,Item did not match the description,2.0,2026-05-03
72,REALLY HAPPY WITH THIS PURCHASE,3.0,2026-08-12
73,Amazing value for the price,5.0,2026-07-09
74,,5.0,2026-08-05
75,"Cheaply made, would not recommend",1.0,2026-07-06
76,Terrible quality broke fast,1.0,2026-08-18
77,IT DOES THE JOB,3.0,2026-08-19
78,Fast shipping and great quality,5.0,2026-04-06
79,,3.0,2026-05-11
80,"Five stars, no complaints at all",5.0,2026-03-13
81,Would definitely buy again,4.0,2026-07-19
82,Really happy with this purchase,5.0,2026-08-22
83,Would definitely buy again,5.0,2026-06-02
84,Item did not match the description,1.0,2026-06-08
85,"Five stars, no complaints at all",5.0,2026-07-02
86,Would not buy this again,1.0,2026-07-16
87,Amazing value for the price,5.0,2026-06-08
88,Very disappointed with this purchase,1.0,2026-04-16
89,Middle of the road experience,3.0,2026-06-08
90,DECENT FOR THE PRICE,3.0,2026-08-15
91,Really happy with this purchase,5.0,2026-06-09
92,Item did not match the description,,2026-05-31
93,Really happy with this purchase,5.0,2026-07-29
94,"Waste of money, returning it",1.0,2026-07-14
95,Amazing value for the price,5.0,2026-07-04
96,Not bad but not great either,3.0,2026-06-15
97,Poor packaging led to damage,1.0,2026-08-11
98,Best purchase I've made this year,5.0,2026-08-10
99,BEST PURCHASE I'VE MADE THIS YEAR,,2026-04-21
100,FAST SHIPPING AND GREAT QUALITY,5.0,2026-07-24
101,EXCEEDED MY EXPECTATIONS,5.0,2026-04-28
102,Item did not match the description,1.0,2026-08-12
103,Terrible quality broke fast,2.0,2026-07-25
104,Fast shipping and great quality,4.0,2026-05-13
105,"Works fine, nothing to write home about",3.0,2026-07-08
106,Stopped working after two days,1.0,2026-07-20
107,,5.0,2026-07-27
108,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",3.0,2026-07-11
109,Terrible quality broke fast,1.0,2026-06-07
110,Works exactly as described,5.0,2026-06-07
111,,1.0,2026-08-07
112,NOT BAD BUT NOT GREAT EITHER,3.0,2026-06-06
113,  It does the job   ,3.0,2026-04-28
114,Average nothing special,,2026-05-26
115,Great product love it,3.0,2026-08-12
116,Best purchase I've made this year,5.0,2026-03-19
117,Not worth the money,1.0,2026-08-14
118,Very disappointed with this purchase,1.0,2026-04-04
119,DECENT FOR THE PRICE,1.0,2026-08-11
120,Not worth the money,1.0,2026-05-08
121,Middle of the road experience,3.0,2026-08-15
122,WOULD DEFINITELY BUY AGAIN,5.0,2026-05-26
123,,5.0,2026-08-09
124,,2.0,2026-03-30
125,It does the job,3.0,2026-06-29
126,"Waste of money, returning it",1.0,2026-08-10
127,Middle of the road experience,3.0,2026-07-07
128,,,2026-05-23
129,Fast shipping and great quality,2.0,2026-08-04
130,  This changed my daily routine for the better   ,5.0,2026-05-10
131,Average nothing special,3.0,2026-07-03
132,Stopped working after two days,1.0,2026-07-03
133,Not worth the money,1.0,2026-08-21
134,"Cheaply made, would not recommend",1.0,2026-05-22
135,"Cheaply made, would not recommend",1.0,2026-07-22
136,Best purchase I've made this year,5.0,2026-07-22
137,Stopped working after two days,1.0,2026-03-31
138,"Works fine, nothing to write home about",3.0,2026-06-05
139,It does the job,3.0,2026-07-25
140,"  FIVE STARS, NO COMPLAINTS AT ALL   ",4.0,2026-05-30
141,Exceeded my expectations,5.0,2026-06-04
142,Works exactly as described,5.0,2026-05-21
143,AMAZING VALUE FOR THE PRICE,2.0,2026-08-16
144,Terrible quality broke fast,1.0,2026-08-18
145,Best purchase I've made this year,4.0,2026-08-01
146,Stopped working after two days,2.0,2026-08-05
147,This changed my daily routine for the better,5.0,2026-07-05
148,,2.0,2026-06-14
149,Arrived damaged and customer service was unhelpful,1.0,2026-07-09
150,THIS CHANGED MY DAILY ROUTINE FOR THE BETTER,5.0,2026-05-19
151,Amazing value for the price,4.0,2026-04-21
152,Would not buy this again,1.0,2026-08-16
153,  Arrived damaged and customer service was unhelpful   ,2.0,2026-04-20
154,Works exactly as described,3.0,2026-08-06
155,Amazing value for the price,5.0,2026-07-14
156,"Waste of money, returning it",1.0,2026-07-23
157,WOULD NOT BUY THIS AGAIN,1.0,2026-07-04
158,"  Works fine, nothing to write home about   ",3.0,2026-08-17
159,Very disappointed with this purchase,1.0,2026-08-21
160,"Waste of money, returning it",2.0,2026-06-11
161,"Waste of money, returning it",2.0,2026-03-25
162,Really happy with this purchase,5.0,2026-07-08
163,Would definitely buy again,5.0,2026-07-05
164,Fast shipping and great quality,2.0,2026-08-06
165,Average nothing special,3.0,2026-08-22
166,Best purchase I've made this year,5.0,2026-08-19
167,Great product love it,4.0,2026-07-17
168,,4.0,2026-07-18
169,EXCEEDED MY EXPECTATIONS,5.0,2026-07-14
170,Really happy with this purchase,5.0,2026-06-02
171,Works exactly as described,5.0,2026-08-14
172,Decent for the price,1.0,2026-07-31
173,This changed my daily routine for the better,5.0,2026-07-19
174,Would definitely buy again,5.0,2026-05-16
175,Works exactly as described,5.0,2026-08-21
176,Not bad but not great either,1.0,2026-08-07
177,,1.0,2026-07-04
178,Decent for the price,3.0,2026-08-14
179,Terrible quality broke fast,1.0,2026-08-20
180,EXCEEDED MY EXPECTATIONS,5.0,2026-07-21
181,Not worth the money,2.0,2026-06-01
182,Exceeded my expectations,5.0,2026-05-03
183,Works exactly as described,5.0,2026-08-02
184,Middle of the road experience,3.0,2026-04-18
185,Okay product for casual use,,2026-06-23
186,,3.0,2026-08-09
187,Very disappointed with this purchase,2.0,2026-05-11
188,Really happy with this purchase,5.0,2026-07-03
189,Great product love it,4.0,2026-05-02
190,,1.0,2026-04-27
191,Item did not match the description,1.0,2026-06-02
192,Amazing value for the price,5.0,2026-04-23
