review_id,text,rating
250,Exceeded my expectations,5.0
228,Fast shipping and great quality,5.0
278,Middle of the road experience,3.0
46,  Average nothing special   ,3.0
312,"Five stars, no complaints at all",5.0
34,Fast shipping and great quality,5.0
15,Fast shipping and great quality,5.0
102,Item did not match the description,1.0
35,Fast shipping and great quality,4.0
313,Not worth the money,1.0
48,"Waste of money, returning it",1.0
19,This changed my daily routine for the better,5.0
209,Item did not match the description,2.0
281,FAST SHIPPING AND GREAT QUALITY,5.0
44,"Five stars, no complaints at all",5.0
235,Exceeded my expectations,4.0
13,,1.0
163,Would definitely buy again,5.0
185,Okay product for casual use,
170,Really happy with this purchase,5.0
213,THIS CHANGED MY DAILY ROUTINE FOR THE BETTER,4.0
14,Would definitely buy again,
7,Fast shipping and great quality,5.0
310,Middle of the road experience,3.0
268,Really happy with this purchase,4.0
129,Fast shipping and great quality,4.0
174,Would definitely buy again,5.0
234,Average nothing special,3.0
155,Amazing value for the price,5.0
261,Item did not match the description,1.0
64,Works exactly as described,4.0
130,  This changed my daily routine for the better   ,5.0
62,Very disappointed with this purchase,1.0
179,Terrible quality broke fast,1.0
25,Exceeded my expectations,5.0
69,Best purchase I've made this year,5.0
219,Very disappointed with this purchase,1.0
65,Not worth the money,1.0
100,FAST SHIPPING AND GREAT QUALITY,5.0
12,,5.0
101,EXCEEDED MY EXPECTATIONS,5.0
85,"Five stars, no complaints at all",5.0
124,,2.0
143,AMAZING VALUE FOR THE PRICE,4.0
212,Best purchase I've made this year,5.0
135,"Cheaply made, would not recommend",1.0
138,"Works fine, nothing to write home about",3.0
315,Average nothing special,3.0
196,Would definitely buy again,5.0
104,Fast shipping and great quality,4.0
47,Amazing value for the price,4.0
239,  Not bad but not great either   ,3.0
246,"Five stars, no complaints at all",5.0
308,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",3.0
94,"Waste of money, returning it",1.0
158,"  Works fine, nothing to write home about   ",3.0
290,Works exactly as described,5.0
298,Best purchase I've made this year,5.0
118,Very disappointed with this purchase,1.0
84,Item did not match the description,1.0
258,Very disappointed with this purchase,1.0
140,"  FIVE STARS, NO COMPLAINTS AT ALL   ",4.0
243,,1.0
2,"  Five stars, no complaints at all   ",4.0
92,Item did not match the description,
205,"Five stars, no complaints at all",5.0
71,Item did not match the description,2.0
282,Fast shipping and great quality,4.0
226,Would not buy this again,1.0
222,Middle of the road experience,3.0
40,  Great product love it   ,5.0
264,"Cheaply made, would not recommend",1.0
262,Would not buy this again,1.0
176,Not bad but not great either,3.0
107,,5.0
17,"Cheaply made, would not recommend",1.0
311,  Not bad but not great either   ,3.0
224,  Middle of the road experience   ,3.0
43,Not bad but not great either,3.0
190,,1.0
72,REALLY HAPPY WITH THIS PURCHASE,5.0
167,Great product love it,4.0
70,Average nothing special,3.0
292,Arrived damaged and customer service was unhelpful,1.0
207,Okay product for casual use,3.0
89,Middle of the road experience,3.0
93,Really happy with this purchase,5.0
81,Would definitely buy again,4.0
117,Not worth the money,2.0
125,It does the job,3.0
113,  It does the job   ,3.0
293,Would not buy this again,2.0
201,Best purchase I've made this year,5.0
215,  Great product love it   ,5.0
183,Works exactly as described,5.0
275,Poor packaging led to damage,1.0
147,This changed my daily routine for the better,5.0
265,Poor packaging led to damage,1.0
161,"Waste of money, returning it",2.0
233,Not bad but not great either,3.0
240,Works exactly as described,5.0
173,This changed my daily routine for the better,5.0
272,Amazing value for the price,5.0
131,Average nothing special,3.0
49,  Poor packaging led to damage   ,1.0
114,Average nothing special,
283,Would not buy this again,2.0
56,WOULD NOT BUY THIS AGAIN,2.0
20,  Decent for the price   ,3.0
297,Works exactly as described,5.0
83,Would definitely buy again,5.0
67,Great product love it,5.0
289,Not bad but not great either,3.0
21,Really happy with this purchase,4.0
259,Exceeded my expectations,5.0
248,Poor packaging led to damage,1.0
164,Fast shipping and great quality,4.0
305,Very disappointed with this purchase,1.0
178,Decent for the price,3.0
245,Stopped working after two days,1.0
154,Works exactly as described,5.0
90,DECENT FOR THE PRICE,3.0
112,NOT BAD BUT NOT GREAT EITHER,3.0
277,Amazing value for the price,5.0
134,"Cheaply made, would not recommend",1.0
230,Amazing value for the price,5.0
111,,1.0
119,DECENT FOR THE PRICE,3.0
299,"Cheaply made, would not recommend",1.0
306,Arrived damaged and customer service was unhelpful,1.0
24,"Five stars, no complaints at all",5.0
288,Terrible quality broke fast,1.0
237,Really happy with this purchase,5.0
91,Really happy with this purchase,5.0
77,IT DOES THE JOB,3.0
109,Terrible quality broke fast,1.0
194,Amazing value for the price,5.0
214,,3.0
304,Very disappointed with this purchase,1.0
82,Really happy with this purchase,5.0
58,"Five stars, no complaints at all",5.0
122,WOULD DEFINITELY BUY AGAIN,5.0
27,Poor packaging led to damage,1.0
141,Exceeded my expectations,5.0
181,Not worth the money,2.0
211,Very disappointed with this purchase,1.0
231,Would not buy this again,
236,This changed my daily routine for the better,5.0
78,Fast shipping and great quality,5.0
221,,4.0
285,Really happy with this purchase,
63,WOULD DEFINITELY BUY AGAIN,5.0
206,Exceeded my expectations,4.0
216,Decent for the price,3.0
39,Really happy with this purchase,4.0
227,Works exactly as described,5.0
156,"Waste of money, returning it",1.0
